algorithm,instance,instance size,pop size,trunc size,max iters,iteration,best fitness,elapsed time in secs
rk-eda,N-stabu70,60,6000,3000,360000,360000,298653,5648
rk-eda,tai20_20_8,20,200,100,40000,40000,35760,15
rk-eda,tai20_5_8,20,200,100,40000,40000,16009,10
rk-eda,tai20_5_8,20,200,40,40000,40000,15720,9
rk-eda,tai50_10_9,50,500,150,250000,250000,103041,540
rk-eda,N-stabu70,60,600,300,360000,360000,293891,583
rk-eda,tai20_20_8,20,20,4,40000,40000,36472,2
rk-eda,tai50_10_9,50,5000,1500,250000,250000,101448,6223
rk-eda,N-be75eec,50,500,100,250000,250000,204377,434
rk-eda,tai50_10_9,50,50,25,250000,250000,105877,55
rk-eda,N-stabu70,60,6000,1800,360000,360000,307545,5567
rk-eda,tai20_5_8,20,20,4,40000,40000,15893,0
rk-eda,tai100_10_8,100,10000,3000,1000000,1000000,354379,45233
rk-eda,tai20_5_8,20,200,100,40000,40000,16158,10
rk-eda,N-be75eec,50,50,25,250000,250000,202483,24
rk-eda,tai20_5_8,20,2000,400,40000,40000,15579,56
rk-eda,N-be75eec,50,50,10,250000,250000,202834,94
rk-eda,tai100_10_8,100,10000,2000,1000000,1000000,353564,47852
rk-eda,N-be75eec,50,50,10,250000,250000,201243,51
rk-eda,N-be75eec,50,5000,1500,250000,250000,207201,4182
rk-eda,N-stabu70,60,600,300,360000,360000,294652,584
rk-eda,tai50_10_9,50,50,15,250000,250000,104811,66
rk-eda,N-stabu70,60,60,12,360000,360000,296663,61
rk-eda,N-stabu70,60,6000,1200,360000,360000,302685,5526
rk-eda,N-be75eec,50,50,15,250000,250000,203531,25
rk-eda,tai20_5_8,20,20,4,40000,40000,16460,1
rk-eda,tai50_10_9,50,500,250,250000,250000,103405,542
rk-eda,tai50_10_9,50,500,150,250000,250000,102649,653
rk-eda,N-stabu70,60,6000,3000,360000,360000,299381,5708
rk-eda,tai100_10_8,100,100,30,1000000,1000000,361612,499
rk-eda,tai20_20_8,20,2000,600,40000,40000,35300,272
rk-eda,tai20_20_8,20,200,40,40000,40000,35259,25
rk-eda,tai20_5_8,20,200,60,40000,40000,15892,10
rk-eda,tai100_10_8,100,1000,300,1000000,1000000,360075,4680
rk-eda,tai20_5_8,20,20,6,40000,40000,16182,1
rk-eda,N-stabu70,60,60,18,360000,360000,281400,61
rk-eda,tai100_10_8,100,100,20,1000000,1000000,363796,816
rk-eda,tai50_10_9,50,50,15,250000,250000,105262,56
rk-eda,N-be75eec,50,5000,1000,250000,250000,206412,4815
rk-eda,N-be75eec,50,5000,1500,250000,250000,205649,4082
rk-eda,N-be75eec,50,500,250,250000,250000,204515,251
rk-eda,N-be75eec,50,500,150,250000,250000,203339,251
rk-eda,tai100_10_8,100,100,30,1000000,1000000,362672,817
rk-eda,tai20_20_8,20,2000,1000,40000,40000,35190,155
rk-eda,N-stabu70,60,600,300,360000,360000,302114,545
rk-eda,tai20_5_8,20,20,4,40000,40000,16061,1
rk-eda,tai20_5_8,20,20,6,40000,40000,15858,1
rk-eda,tai20_20_8,20,2000,600,40000,40000,35173,272
rk-eda,tai20_20_8,20,2000,400,40000,40000,35222,248
rk-eda,tai100_10_8,100,100,50,1000000,1000000,365244,568
rk-eda,tai50_10_9,50,5000,2500,250000,250000,100678,3249
rk-eda,N-stabu70,60,60,30,360000,360000,283011,62
rk-eda,tai20_20_8,20,200,100,40000,40000,35598,26
rk-eda,tai100_10_8,100,100,50,1000000,1000000,363527,503
rk-eda,tai100_10_8,100,10000,3000,1000000,1000000,357213,44891
rk-eda,tai100_10_8,100,100,50,1000000,1000000,363849,503
rk-eda,N-stabu70,60,60,18,360000,360000,292000,61
rk-eda,tai20_5_8,20,20,6,40000,40000,16174,1
rk-eda,tai20_5_8,20,20,6,40000,40000,16181,1
rk-eda,tai20_20_8,20,20,6,40000,40000,36018,1
rk-eda,tai50_10_9,50,500,150,250000,250000,103924,538
rk-eda,tai20_20_8,20,20,10,40000,40000,36209,2
rk-eda,N-stabu70,60,60,18,360000,360000,296223,61
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15633,57
rk-eda,tai50_10_9,50,50,25,250000,250000,105966,32
rk-eda,N-be75eec,50,50,25,250000,250000,199743,41
rk-eda,tai20_5_8,20,200,60,40000,40000,15812,5
rk-eda,tai20_5_8,20,2000,400,40000,40000,15261,98
rk-eda,N-be75eec,50,50,10,250000,250000,200699,25
rk-eda,N-be75eec,50,50,10,250000,250000,201424,43
rk-eda,N-be75eec,50,50,10,250000,250000,201399,51
rk-eda,tai20_20_8,20,2000,600,40000,40000,35340,264
rk-eda,tai100_10_8,100,1000,200,1000000,1000000,356715,4623
rk-eda,tai100_10_8,100,100,50,1000000,1000000,364454,837
rk-eda,tai100_10_8,100,10000,2000,1000000,1000000,357082,44587
rk-eda,tai100_10_8,100,100,20,1000000,1000000,361740,810
rk-eda,tai50_10_9,50,5000,2500,250000,250000,102222,3194
rk-eda,N-be75eec,50,5000,2500,250000,250000,205984,2385
rk-eda,N-be75eec,50,500,250,250000,250000,203793,317
rk-eda,tai50_10_9,50,50,10,250000,250000,105046,33
rk-eda,tai20_20_8,20,200,100,40000,40000,35685,26
rk-eda,N-stabu70,60,600,300,360000,360000,308050,934
rk-eda,tai50_10_9,50,500,100,250000,250000,103129,353
rk-eda,tai50_10_9,50,500,150,250000,250000,103557,643
rk-eda,N-be75eec,50,500,100,250000,250000,203978,257
rk-eda,N-stabu70,60,600,120,360000,360000,293582,572
rk-eda,N-stabu70,60,600,180,360000,360000,302389,573
rk-eda,tai50_10_9,50,5000,2500,250000,250000,102994,6219
rk-eda,tai100_10_8,100,10000,5000,1000000,1000000,355436,45560
rk-eda,tai50_10_9,50,5000,1500,250000,250000,102907,6375
rk-eda,N-stabu70,60,600,180,360000,360000,296674,575
rk-eda,N-stabu70,60,6000,1200,360000,360000,306005,5586
rk-eda,tai100_10_8,100,1000,200,1000000,1000000,358016,7903
rk-eda,N-be75eec,50,5000,1000,250000,250000,205690,2443
rk-eda,tai20_5_8,20,20,6,40000,40000,16192,1
rk-eda,tai20_5_8,20,200,100,40000,40000,15892,10
rk-eda,tai20_5_8,20,200,60,40000,40000,15691,10
rk-eda,N-be75eec,50,5000,2500,250000,250000,205863,2612
rk-eda,tai20_5_8,20,2000,600,40000,40000,15659,56
rk-eda,tai100_10_8,100,1000,300,1000000,1000000,358166,4668
rk-eda,tai50_10_9,50,500,100,250000,250000,104051,637
rk-eda,N-be75eec,50,500,250,250000,250000,204455,447
rk-eda,tai50_10_9,50,5000,2500,250000,250000,101758,3739
rk-eda,tai100_10_8,100,10000,3000,1000000,1000000,355022,45052
rk-eda,tai100_10_8,100,10000,3000,1000000,1000000,355630,44860
rk-eda,tai100_10_8,100,10000,3000,1000000,1000000,358351,44932
rk-eda,tai50_10_9,50,50,15,250000,250000,105137,64
rk-eda,tai100_10_8,100,10000,2000,1000000,1000000,353214,48155
rk-eda,tai100_10_8,100,100,50,1000000,1000000,367531,503
rk-eda,N-stabu70,60,600,180,360000,360000,292814,573
rk-eda,tai20_5_8,20,20,4,40000,40000,16135,1
rk-eda,tai50_10_9,50,50,25,250000,250000,104911,64
rk-eda,tai50_10_9,50,50,10,250000,250000,104550,33
rk-eda,tai20_5_8,20,20,6,40000,40000,15691,0
rk-eda,tai50_10_9,50,50,15,250000,250000,103166,65
rk-eda,N-be75eec,50,5000,2500,250000,250000,207534,3998
rk-eda,tai50_10_9,50,5000,2500,250000,250000,102239,5280
rk-eda,N-stabu70,60,600,120,360000,360000,296190,567
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1245793,74857
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1255856,79472
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1247509,73340
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1239763,73260
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1245846,100777
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1252309,74823
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1252517,73189
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1258052,7884
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1239852,73723
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1260454,7837
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1256040,7848
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1249532,74065
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1257668,8000
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1248840,73842
rk-eda,tai200_10_9,200,200,100,4000000,4000000,1255997,7998
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1251643,74785
rk-eda,tai200_10_9,200,200,100,4000000,4000000,1253209,8019
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1257436,7826
rk-eda,tai200_10_9,200,200,100,4000000,4000000,1261574,7996
rk-eda,tai200_10_9,200,200,100,4000000,4000000,1254721,8005
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1254474,74857
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1238172,78801
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1257983,7839
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1253502,7900
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1257245,8118
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1251537,72604
rk-eda,tai200_10_9,200,200,100,4000000,4000000,1257774,7993
rk-eda,tai200_10_9,200,200,100,4000000,4000000,1261042,8010
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1255575,7895
rk-eda,tai200_10_9,200,200,100,4000000,4000000,1248184,10862
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1252339,73260
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1245291,73174
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1247628,73122
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1248987,73790
rk-eda,tai200_10_9,200,200,100,4000000,4000000,1262901,8001
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1254303,7909
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1255079,74804
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1252691,7882
rk-eda,tai200_10_9,200,200,100,4000000,4000000,1262673,7990
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1253564,73842
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1257680,7886
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1260901,8072
rk-eda,tai200_10_9,200,200,100,4000000,4000000,1248983,7991
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1260718,7831
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1251287,73744
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1246300,73376
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1255580,7886
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1251707,76623
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1259036,7887
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1258628,7892
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1241756,73860
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1248200,73670
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1236025,73297
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1256893,8074
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1244213,73755
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1235984,73695
rk-eda,tai200_10_9,200,200,40,4000000,4000000,1261402,7835
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1248141,74725
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1263020,7914
rk-eda,tai200_10_9,200,2000,1000,4000000,4000000,1246750,74777
