algorithm,instance,instance size,pop size,trunc size,max iters,iteration,best fitness,elapsed time in secs
rk-eda,tai20_20_8,20,2000,600,40000,40000,35301,271
rk-eda,N-be75eec,50,500,250,250000,250000,205294,426
rk-eda,N-stabu70,60,600,120,360000,360000,298196,573
rk-eda,tai20_5_8,20,20,4,40000,40000,15873,2
rk-eda,tai50_10_9,50,5000,2500,250000,250000,102417,3177
rk-eda,tai20_20_8,20,200,100,40000,40000,35582,26
rk-eda,tai20_5_8,20,20,10,40000,40000,16100,1
rk-eda,tai20_20_8,20,200,100,40000,40000,35737,15
rk-eda,tai50_10_9,50,5000,2500,250000,250000,101880,5178
rk-eda,tai20_5_8,20,2000,600,40000,40000,15805,98
rk-eda,tai50_10_9,50,5000,2500,250000,250000,101067,3032
rk-eda,N-stabu70,60,600,180,360000,360000,294507,574
rk-eda,tai100_10_8,100,100,20,1000000,1000000,362118,977
rk-eda,tai50_10_9,50,5000,1000,250000,250000,102401,3125
rk-eda,tai20_20_8,20,20,4,40000,40000,35814,4
rk-eda,N-be75eec,50,500,100,250000,250000,205660,521
rk-eda,tai20_20_8,20,2000,400,40000,40000,35189,271
rk-eda,tai20_5_8,20,2000,400,40000,40000,15451,94
rk-eda,tai20_5_8,20,20,4,40000,40000,16138,1
rk-eda,tai100_10_8,100,1000,500,1000000,1000000,359181,8088
rk-eda,N-be75eec,50,50,25,250000,250000,202721,50
rk-eda,N-stabu70,60,600,180,360000,360000,300281,581
rk-eda,N-be75eec,50,50,15,250000,250000,200959,42
rk-eda,tai50_10_9,50,500,150,250000,250000,103751,323
rk-eda,N-stabu70,60,600,120,360000,360000,303351,574
rk-eda,tai50_10_9,50,5000,1000,250000,250000,101781,6337
rk-eda,N-be75eec,50,5000,2500,250000,250000,204179,2425
rk-eda,tai100_10_8,100,100,20,1000000,1000000,361074,502
rk-eda,tai20_20_8,20,20,10,40000,40000,36648,1
rk-eda,tai100_10_8,100,1000,300,1000000,1000000,360413,7868
rk-eda,tai100_10_8,100,100,30,1000000,1000000,363302,816
rk-eda,N-stabu70,60,60,30,360000,360000,290255,62
rk-eda,N-be75eec,50,50,10,250000,250000,202502,25
rk-eda,tai20_5_8,20,2000,600,40000,40000,15688,57
rk-eda,N-stabu70,60,60,18,360000,360000,295985,61
rk-eda,tai20_20_8,20,2000,1000,40000,40000,35179,266
rk-eda,tai50_10_9,50,5000,1500,250000,250000,102399,6297
rk-eda,tai50_10_9,50,5000,1000,250000,250000,101527,3156
rk-eda,tai50_10_9,50,5000,1500,250000,250000,102245,5231
rk-eda,tai20_20_8,20,200,60,40000,40000,35567,26
rk-eda,N-be75eec,50,500,100,250000,250000,203965,288
rk-eda,tai100_10_8,100,1000,500,1000000,1000000,358097,4721
rk-eda,N-be75eec,50,5000,2500,250000,250000,204969,4414
rk-eda,tai20_20_8,20,20,4,40000,40000,35360,2
rk-eda,N-stabu70,60,6000,1800,360000,360000,304141,5602
rk-eda,tai100_10_8,100,1000,500,1000000,1000000,358046,4699
rk-eda,N-stabu70,60,600,120,360000,360000,295842,567
rk-eda,tai20_20_8,20,20,6,40000,40000,36633,3
rk-eda,N-be75eec,50,5000,1000,250000,250000,206769,2973
rk-eda,N-stabu70,60,6000,1800,360000,360000,302512,5617
rk-eda,tai50_10_9,50,50,25,250000,250000,105325,56
rk-eda,tai20_5_8,20,200,40,40000,40000,15887,9
rk-eda,tai20_5_8,20,2000,600,40000,40000,15650,95
rk-eda,tai50_10_9,50,50,10,250000,250000,104442,35
rk-eda,tai100_10_8,100,1000,500,1000000,1000000,358819,8071
rk-eda,tai50_10_9,50,50,10,250000,250000,103957,57
rk-eda,tai50_10_9,50,500,150,250000,250000,103325,526
rk-eda,tai50_10_9,50,5000,1000,250000,250000,101861,6492
rk-eda,tai20_20_8,20,200,100,40000,40000,35722,15
rk-eda,tai20_20_8,20,20,6,40000,40000,35826,2
rk-eda,tai20_20_8,20,200,60,40000,40000,35536,26
rk-eda,N-stabu70,60,60,12,360000,360000,291223,90
rk-eda,N-be75eec,50,5000,1500,250000,250000,207137,2476
rk-eda,tai20_20_8,20,200,40,40000,40000,35501,15
rk-eda,N-be75eec,50,500,150,250000,250000,206679,255
rk-eda,tai100_10_8,100,10000,3000,1000000,1000000,358161,44659
rk-eda,tai20_20_8,20,2000,400,40000,40000,35165,250
rk-eda,tai50_10_9,50,50,15,250000,250000,105218,55
rk-eda,N-stabu70,60,6000,1200,360000,360000,302071,5516
rk-eda,N-be75eec,50,500,150,250000,250000,205320,428
rk-eda,tai20_20_8,20,2000,600,40000,40000,35157,154
rk-eda,N-stabu70,60,6000,1800,360000,360000,306968,5574
rk-eda,tai100_10_8,100,10000,2000,1000000,1000000,354471,44368
rk-eda,tai100_10_8,100,10000,5000,1000000,1000000,357214,45407
rk-eda,N-be75eec,50,500,150,250000,250000,204033,491
rk-eda,tai50_10_9,50,500,100,250000,250000,103508,322
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15524,55
rk-eda,tai20_20_8,20,2000,600,40000,40000,35260,154
rk-eda,tai100_10_8,100,1000,200,1000000,1000000,359782,4626
rk-eda,tai100_10_8,100,1000,300,1000000,1000000,355986,4686
rk-eda,tai100_10_8,100,1000,500,1000000,1000000,358952,7942
rk-eda,tai100_10_8,100,100,50,1000000,1000000,366157,1007
rk-eda,tai20_20_8,20,2000,1000,40000,40000,35385,155
rk-eda,tai20_20_8,20,200,60,40000,40000,35073,26
rk-eda,tai50_10_9,50,500,100,250000,250000,103973,353
rk-eda,N-stabu70,60,600,300,360000,360000,297012,584
rk-eda,N-be75eec,50,50,25,250000,250000,202183,52
