instance,repetition,algorithm,best fitness,elapsed time in secs,pop size,trunc size
N-be75eec_150,4713865,PLEDA,3275960.000,17452.558,150,45
N-be75eec,7211543,PLEDA,233097.000,1444.857,5000,2500
N-be75eec_150,104684,PLEDA,3249601.000,5462.327,150,30
N-stabu1_250,4412619,PLEDA,7446381.000,209399.934,25000,7500
N-stabu1_250,327139,PLEDA,7450829.000,142985.200,2500,750
N-t59b11xx,2029235,PLEDA,207355.000,112.460,44,13
N-t59b11xx,7010225,PLEDA,208115.000,347.568,4400,880
N-t59b11xx,3110756,PLEDA,209130.000,396.992,440,88
N-be75eec,121511,PLEDA,232462.000,90.583,50,10
N-be75eec_150,6610026,PLEDA,3311586.000,39178.975,150,75
N-t59b11xx,5727282,PLEDA,208660.000,179.440,44,22
N-be75eec_150,8732,PLEDA,3337654.000,46117.900,1500,750
N-t59b11xx,3523698,PLEDA,208135.000,1234.799,4400,1320
N-be75eec,796566,PLEDA,233123.000,556.630,5000,1000
N-stabu70,3123605,PLEDA,357888.000,979.848,600,120
N-be75eec,5617329,PLEDA,234086.000,184.358,50,15
N-stabu1_250,6321033,PLEDA,7443878.000,325776.511,25000,12500
N-stabu70,789684,PLEDA,357328.000,3490.883,600,300
N-stabu70,3812704,PLEDA,356313.000,332.203,60,18
N-t59b11xx,514942,PLEDA,209025.000,763.272,440,132
N-be75eec,1727098,PLEDA,233100.000,833.694,5000,1500
N-be75eec_150,8824313,PLEDA,3346585.000,23102.240,15000,3000
N-stabu70,722297,PLEDA,358145.000,2672.996,6000,3000
N-be75eec,658697,PLEDA,229255.000,259.408,50,15
N-t59b11xx,1718674,PLEDA,208145.000,530.524,4400,1320
N-be75eec,2314350,PLEDA,233330.000,778.387,500,150
N-be75eec_150,763523,PLEDA,3342348.000,16012.133,1500,300
N-be75eec_150,637254,PLEDA,3338198.000,61613.948,15000,7500
N-be75eec_150,4919131,PLEDA,3365930.000,16333.054,1500,300
N-be75eec_150,43142,PLEDA,3340571.000,39521.264,15000,3000
