instance,repetition,algorithm,best fitness,elapsed time in secs,pop size,trunc size
N-be75eec,2819618,PLEDA,233435.000,117.610,50,10
N-t59b11xx,920889,PLEDA,208145.000,1464.175,4400,2200
N-be75eec,225964,PLEDA,232697.000,587.188,500,100
N-stabu70,4015954,PLEDA,357806.000,982.327,600,120
N-stabu70,622056,PLEDA,358806.000,2437.504,600,300
N-stabu1_250,7732149,PLEDA,7467386.000,329634.330,2500,750
N-stabu70,469593,PLEDA,354034.000,174.067,60,12
N-stabu70,5817871,PLEDA,356340.000,1369.717,600,120
N-be75eec_150,1117857,PLEDA,3274918.000,10044.238,150,45
N-be75eec_150,924773,PLEDA,3321526.000,58260.713,15000,7500
N-be75eec_150,614915,PLEDA,3351670.000,92523.110,1500,750
N-stabu1_250,7311722,PLEDA,7270928.000,52735.554,250,50
N-stabu1_250,8923836,PLEDA,7451751.000,207994.728,25000,7500
N-be75eec_150,289486,PLEDA,3258504.000,5273.805,150,30
N-stabu70,1714985,PLEDA,358152.000,2407.388,6000,1800
N-be75eec,7821124,PLEDA,233172.000,1455.262,500,250
N-t59b11xx,8524083,PLEDA,207495.000,346.805,440,88
N-be75eec,8420404,PLEDA,234671.000,731.676,50,25
N-t59b11xx,469132,PLEDA,205980.000,40.167,44,8
N-be75eec_150,1815561,PLEDA,3337911.000,71255.403,15000,7500
N-stabu70,151164,PLEDA,356700.000,2452.397,600,300
N-be75eec,3318614,PLEDA,232860.000,1746.977,500,250
N-be75eec_150,4218156,PLEDA,3342681.000,44669.742,1500,750
N-stabu70,4017382,PLEDA,359263.000,991.310,600,120
N-stabu1_250,4426779,PLEDA,7458317.000,196962.723,25000,7500
N-stabu70,35454,PLEDA,356222.000,2054.403,60,30
N-be75eec,8124339,PLEDA,232960.000,1431.624,5000,2500
N-be75eec,4630313,PLEDA,232704.000,159.414,50,10
N-be75eec,5024413,PLEDA,233570.000,782.180,500,150
N-stabu1_250,36544,PLEDA,7390970.000,166739.946,250,125
N-t59b11xx,345797,PLEDA,208295.000,369.823,4400,880
N-stabu1_250,3110758,PLEDA,7452218.000,250812.719,2500,500
N-be75eec_150,1329645,PLEDA,3351278.000,16853.592,1500,300
N-be75eec,8893,PLEDA,233101.000,819.986,5000,1500
N-be75eec,4210404,PLEDA,233964.000,1452.627,500,250
N-stabu70,36266,PLEDA,357928.000,3002.645,6000,3000
N-stabu70,3332026,PLEDA,357757.000,2436.244,600,300
N-stabu70,430393,PLEDA,358008.000,1552.515,600,120
N-t59b11xx,1731466,PLEDA,208145.000,918.926,4400,1320
N-be75eec_150,72421,PLEDA,3345433.000,57535.057,15000,3000
N-t59b11xx,187994,PLEDA,208145.000,2139.650,4400,2200
N-stabu70,198764,PLEDA,353769.000,188.569,60,12
N-be75eec,7727080,PLEDA,233964.000,866.508,500,150
N-stabu1_250,3817320,PLEDA,7375599.000,83710.567,250,75
N-stabu70,4430149,PLEDA,358054.000,1460.767,6000,1800
N-stabu1_250,2817995,PLEDA,7270078.000,50269.717,250,50
N-be75eec,93559,PLEDA,233117.000,1386.733,5000,2500
N-be75eec,5524622,PLEDA,232229.000,149.800,50,10
N-stabu70,61110,PLEDA,358591.000,3600.764,600,300
N-stabu70,539162,PLEDA,358126.000,1446.724,6000,1800
N-be75eec,5317534,PLEDA,233279.000,841.363,5000,1500
N-stabu1_250,224817,PLEDA,7297315.000,159547.162,250,75
N-t59b11xx,5112401,PLEDA,208425.000,985.260,440,220
N-be75eec_150,1011903,PLEDA,3249481.000,8766.672,150,30
N-stabu70,116930,PLEDA,353539.000,281.722,60,12
N-be75eec_150,8929620,PLEDA,3338394.000,81661.052,15000,4500
N-be75eec,869065,PLEDA,233878.000,877.010,500,150
N-stabu1_250,8227395,PLEDA,7295883.000,52651.993,250,50
N-be75eec,5114578,PLEDA,233240.000,1457.354,500,250
N-stabu1_250,1828597,PLEDA,7446418.000,308680.196,25000,12500
N-be75eec,636447,PLEDA,233116.000,1465.076,5000,2500
N-stabu70,211622,PLEDA,355753.000,421.950,60,18
N-be75eec,3510803,PLEDA,233097.000,1177.940,5000,1500
N-be75eec_150,685262,PLEDA,3338325.000,24147.139,1500,450
N-stabu70,7429988,PLEDA,355868.000,841.474,60,18
N-be75eec_150,3316267,PLEDA,3327282.000,76979.257,1500,750
N-be75eec_150,2429456,PLEDA,3316181.000,43454.214,1500,750
N-t59b11xx,109415,PLEDA,204670.000,38.060,44,8
N-stabu70,113904,PLEDA,355422.000,205.729,60,12
N-stabu70,32055,PLEDA,356609.000,1547.343,60,30
N-stabu1_250,1722584,PLEDA,7451677.000,221427.007,25000,7500
N-t59b11xx,655685,PLEDA,207000.000,67.639,44,13
N-stabu70,718369,PLEDA,357805.000,941.569,6000,1200
N-stabu1_250,6527858,PLEDA,7321327.000,91366.974,250,75
N-stabu70,5727065,PLEDA,356531.000,2125.052,60,30
N-stabu70,3613001,PLEDA,357758.000,2568.890,6000,3000
N-stabu70,797260,PLEDA,357809.000,1422.154,6000,1200
N-t59b11xx,786316,PLEDA,207705.000,987.752,440,220
N-stabu70,854333,PLEDA,357978.000,1561.363,600,120
N-stabu1_250,364119,PLEDA,7439828.000,309794.260,25000,12500
N-be75eec_150,7311937,PLEDA,3255714.000,6758.497,150,30
N-stabu1_250,465255,PLEDA,7246987.000,30187.203,250,50
N-stabu1_250,475234,PLEDA,7335690.000,83106.661,250,75
N-stabu1_250,4121047,PLEDA,7458876.000,174456.881,2500,750
N-stabu1_250,632612,PLEDA,7443369.000,248116.975,2500,1250
N-be75eec,7611135,PLEDA,234094.000,592.962,500,100
N-stabu70,5929037,PLEDA,358615.000,1951.306,600,180
N-t59b11xx,5928201,PLEDA,209115.000,580.252,440,132
N-stabu1_250,113749,PLEDA,7290386.000,53004.717,250,50
N-stabu1_250,84962,PLEDA,7439126.000,335216.573,25000,7500
N-stabu70,2721508,PLEDA,358128.000,2927.463,6000,3000
N-be75eec_150,296321,PLEDA,3249006.000,17972.400,150,45
N-be75eec,8912349,PLEDA,233097.000,815.565,5000,1500
N-stabu1_250,4514737,PLEDA,7440875.000,314072.838,25000,12500
N-be75eec,3413007,PLEDA,233120.000,756.790,5000,1000
N-t59b11xx,437261,PLEDA,208145.000,516.538,4400,880
N-stabu70,4315479,PLEDA,357854.000,963.379,6000,1200
N-be75eec_150,172510,PLEDA,3336050.000,43175.933,15000,4500
N-be75eec,2320042,PLEDA,233362.000,887.170,500,150
N-stabu70,3121868,PLEDA,357348.000,985.195,600,120
N-be75eec,727750,PLEDA,233252.000,558.743,5000,1000
N-stabu70,5011472,PLEDA,358063.000,1453.798,600,180
N-stabu1_250,3218295,PLEDA,7454424.000,175750.870,2500,750
N-t59b11xx,289480,PLEDA,206465.000,60.746,44,8
N-t59b11xx,4729046,PLEDA,207110.000,68.080,44,13
N-t59b11xx,9014230,PLEDA,208145.000,885.141,4400,2200
N-be75eec_150,4729434,PLEDA,3262202.000,19733.453,150,45
N-stabu70,6920289,PLEDA,357262.000,2223.312,600,300
N-be75eec_150,5922218,PLEDA,3347199.000,25668.289,1500,450
N-stabu1_250,831757,PLEDA,7318546.000,89089.862,250,75
N-t59b11xx,614778,PLEDA,208425.000,985.964,440,220
N-stabu1_250,1921037,PLEDA,7271397.000,55567.913,250,50
N-be75eec_150,7828500,PLEDA,3331458.000,72872.110,1500,750
N-be75eec_150,3027305,PLEDA,3292771.000,39074.457,150,75
N-be75eec,216230,PLEDA,232951.000,355.197,50,15
N-be75eec_150,849841,PLEDA,3316281.000,39629.109,150,75
N-stabu70,915826,PLEDA,357695.000,2511.971,6000,3000
N-t59b11xx,7319598,PLEDA,206260.000,36.424,44,8
N-stabu70,6720082,PLEDA,358819.000,1177.266,600,120
N-stabu70,3011205,PLEDA,356689.000,2240.227,60,30
N-stabu1_250,561520,PLEDA,7349532.000,78103.675,250,75
N-t59b11xx,2121935,PLEDA,207865.000,342.409,44,22
N-be75eec_150,8013989,PLEDA,3333122.000,49948.273,15000,4500
N-be75eec_150,783137,PLEDA,3327858.000,43173.448,1500,750
N-be75eec,2921963,PLEDA,233059.000,220.809,50,15
N-stabu70,7026066,PLEDA,358019.000,1635.198,6000,1200
N-t59b11xx,128261,PLEDA,206320.000,60.801,44,8
N-be75eec,2519202,PLEDA,233120.000,534.066,5000,1000
N-be75eec,2725061,PLEDA,233116.000,2341.946,5000,2500
N-stabu1_250,7919012,PLEDA,7461260.000,156644.768,25000,5000
N-stabu70,7012252,PLEDA,357817.000,981.180,6000,1200
N-be75eec_150,7517513,PLEDA,3274028.000,38487.400,150,75
N-be75eec,5023020,PLEDA,234046.000,886.082,500,150
N-stabu70,477718,PLEDA,353595.000,498.526,60,18
N-t59b11xx,1531963,PLEDA,209130.000,1289.070,440,220
N-be75eec_150,506429,PLEDA,3335487.000,37382.495,1500,450
N-be75eec_150,6013898,PLEDA,3348021.000,80134.148,1500,750
N-stabu1_250,5613361,PLEDA,7316370.000,115161.575,250,75
N-t59b11xx,3724434,PLEDA,206085.000,40.412,44,8
N-stabu70,45173,PLEDA,357566.000,2572.629,6000,3000
N-stabu1_250,8824520,PLEDA,7441928.000,302469.626,25000,5000
N-t59b11xx,925988,PLEDA,208145.000,901.043,4400,2200
N-t59b11xx,538132,PLEDA,208145.000,535.185,4400,1320
N-be75eec,8319133,PLEDA,233748.000,201.579,50,15
N-be75eec,8130247,PLEDA,233110.000,1329.036,5000,2500
N-stabu1_250,3720717,PLEDA,7275657.000,35133.877,250,50
N-stabu70,3530625,PLEDA,357714.000,1487.395,6000,1800
N-be75eec_150,242823,PLEDA,3333745.000,83789.263,1500,750
N-stabu1_250,517469,PLEDA,7476794.000,164366.430,2500,750
N-be75eec,644734,PLEDA,232113.000,81.597,50,10
N-stabu1_250,691022,PLEDA,7438963.000,264036.733,2500,1250
N-stabu1_250,7727,PLEDA,7440295.000,246421.853,25000,5000
N-t59b11xx,5526445,PLEDA,206070.000,40.933,44,8
N-be75eec,405433,PLEDA,234005.000,593.004,500,100
N-stabu70,838494,PLEDA,355861.000,692.509,60,18
N-stabu70,7431054,PLEDA,354993.000,458.640,60,18
N-be75eec_150,5618904,PLEDA,3262117.000,10987.350,150,45
N-be75eec_150,2318667,PLEDA,3333343.000,24394.507,1500,450
N-be75eec,453865,PLEDA,233120.000,1406.208,5000,2500
N-t59b11xx,789574,PLEDA,208255.000,871.970,440,220
N-stabu70,8721340,PLEDA,357374.000,3811.895,600,300
N-be75eec,3913410,PLEDA,233634.000,997.393,50,25
N-t59b11xx,6013130,PLEDA,208475.000,977.761,440,220
N-stabu70,398897,PLEDA,356849.000,1226.850,60,30
N-be75eec,1117493,PLEDA,234320.000,186.313,50,15
N-be75eec_150,3931426,PLEDA,3306219.000,64383.774,150,75
N-be75eec_150,148280,PLEDA,3324785.000,24815.574,1500,450
N-be75eec,2430668,PLEDA,233182.000,1297.940,500,250
N-stabu70,4810153,PLEDA,357989.000,1349.623,60,30
N-stabu1_250,114587,PLEDA,7301647.000,65008.270,250,50
N-stabu1_250,611531,PLEDA,7450997.000,154692.172,25000,5000
N-stabu70,606011,PLEDA,357458.000,3626.168,600,300
N-stabu1_250,6127002,PLEDA,7463448.000,123248.300,25000,5000
N-stabu70,4314509,PLEDA,357839.000,952.289,6000,1200
N-be75eec,6222865,PLEDA,233100.000,827.515,5000,1500
N-be75eec_150,426484,PLEDA,3358795.000,28304.631,1500,300
N-be75eec_150,929413,PLEDA,3332178.000,116117.861,15000,7500
N-be75eec,1230964,PLEDA,233986.000,632.627,50,25
N-t59b11xx,1218676,PLEDA,207760.000,294.982,44,22
N-stabu70,3230767,PLEDA,357372.000,1454.619,600,180
N-t59b11xx,4223388,PLEDA,208055.000,971.172,440,220
N-be75eec,419696,PLEDA,233813.000,1143.151,500,150
N-t59b11xx,8314406,PLEDA,206945.000,59.787,44,13
N-t59b11xx,4813543,PLEDA,208370.000,221.302,44,22
N-be75eec_150,7232355,PLEDA,3340171.000,65150.867,15000,7500
N-t59b11xx,332457,PLEDA,208220.000,324.477,44,22
N-be75eec,327924,PLEDA,233353.000,886.293,500,150
N-t59b11xx,7926548,PLEDA,208655.000,352.213,4400,880
N-stabu1_250,6824910,PLEDA,7429257.000,129778.744,2500,750
N-be75eec,1411237,PLEDA,233879.000,870.819,500,150
N-be75eec,2928598,PLEDA,233173.000,314.017,50,15
N-be75eec_150,399355,PLEDA,3310553.000,35096.964,150,75
N-t59b11xx,230766,PLEDA,207730.000,129.876,44,13
N-t59b11xx,7422190,PLEDA,207360.000,84.708,44,13
N-be75eec_150,7524294,PLEDA,3335971.000,38496.542,150,75
N-t59b11xx,7410263,PLEDA,207230.000,64.826,44,13
N-be75eec,8717283,PLEDA,233976.000,2194.462,500,250
N-t59b11xx,3112188,PLEDA,209115.000,546.294,440,88
N-stabu70,4822739,PLEDA,357723.000,2955.613,60,30
N-stabu1_250,8430741,PLEDA,7344111.000,288235.851,250,125
N-be75eec,44117,PLEDA,234778.000,916.716,500,100
N-be75eec,528894,PLEDA,233975.000,881.619,500,150
N-stabu1_250,416509,PLEDA,7462400.000,107519.957,2500,500
N-be75eec,698664,PLEDA,234000.000,1461.994,500,250
N-stabu1_250,6018972,PLEDA,7431651.000,229832.782,2500,1250
N-t59b11xx,7518118,PLEDA,207955.000,170.773,44,22
N-t59b11xx,406773,PLEDA,208420.000,546.363,440,88
N-stabu70,7620817,PLEDA,357436.000,987.857,600,120
N-stabu1_250,2110457,PLEDA,7402405.000,189114.032,250,125
N-stabu1_250,461948,PLEDA,7264527.000,35663.919,250,50
N-stabu1_250,54490,PLEDA,7447663.000,324267.812,25000,12500
N-t59b11xx,6620753,PLEDA,207665.000,131.193,44,22
N-stabu70,7518046,PLEDA,356974.000,1525.087,60,30
N-t59b11xx,5131480,PLEDA,208445.000,980.227,440,220
N-be75eec_150,1521937,PLEDA,3349812.000,42903.525,1500,750
N-be75eec_150,4820319,PLEDA,3297789.000,58249.591,150,75
N-stabu1_250,2618512,PLEDA,7451016.000,386314.181,25000,7500
N-be75eec,4129962,PLEDA,233956.000,889.895,500,150
N-stabu70,53201,PLEDA,358079.000,1410.546,6000,1800
N-t59b11xx,5319025,PLEDA,208145.000,548.152,4400,1320
N-be75eec,3914393,PLEDA,234369.000,1655.650,50,25
N-be75eec,491626,PLEDA,234061.000,587.662,500,100
N-be75eec_150,218449,PLEDA,3288783.000,18530.448,150,45
N-stabu70,5123903,PLEDA,358159.000,2427.533,600,300
N-stabu1_250,127508,PLEDA,7385479.000,180004.563,250,125
N-t59b11xx,1126190,PLEDA,207455.000,137.357,44,13
N-be75eec_150,257496,PLEDA,3347034.000,27322.002,15000,3000
N-stabu70,5529589,PLEDA,350043.000,180.318,60,12
N-be75eec_150,121756,PLEDA,3219545.000,7407.752,150,30
N-stabu1_250,3126586,PLEDA,7457513.000,113201.780,2500,500
N-t59b11xx,2716802,PLEDA,208115.000,895.873,4400,2200
N-stabu70,8124982,PLEDA,358013.000,4761.685,6000,3000
N-t59b11xx,811462,PLEDA,208330.000,793.866,4400,2200
N-stabu1_250,794364,PLEDA,7452118.000,321240.314,25000,5000
N-be75eec,648698,PLEDA,232692.000,86.877,50,10
N-be75eec,3731204,PLEDA,233645.000,114.632,50,10
N-t59b11xx,31663,PLEDA,205320.000,241.522,44,22
N-stabu1_250,513662,PLEDA,7433868.000,262722.181,2500,1250
N-stabu70,1322587,PLEDA,359521.000,977.997,600,120
N-be75eec_150,497144,PLEDA,3342942.000,24049.427,1500,300
N-stabu1_250,4011030,PLEDA,7440183.000,107895.713,2500,500
N-stabu70,6413050,PLEDA,353411.000,179.590,60,12
N-be75eec_150,5414800,PLEDA,3333188.000,59332.632,15000,7500
N-t59b11xx,2718990,PLEDA,208145.000,1367.741,4400,2200
N-t59b11xx,1418514,PLEDA,208550.000,581.684,440,132
N-t59b11xx,7611165,PLEDA,209105.000,357.952,440,88
N-be75eec_150,830080,PLEDA,3341076.000,39590.333,15000,4500
N-t59b11xx,2316668,PLEDA,209130.000,891.542,440,132
N-be75eec,9011174,PLEDA,233120.000,2505.521,5000,2500
N-be75eec,3018586,PLEDA,234124.000,1346.111,50,25
N-stabu1_250,7821372,PLEDA,7467341.000,227950.202,2500,1250
N-stabu1_250,6619758,PLEDA,7399359.000,185114.638,250,125
N-t59b11xx,5020311,PLEDA,209115.000,577.521,440,132
N-stabu70,5030618,PLEDA,358745.000,1449.624,600,180
N-t59b11xx,5018139,PLEDA,209085.000,588.790,440,132
N-t59b11xx,849888,PLEDA,208860.000,219.966,44,22
N-stabu70,1128579,PLEDA,355790.000,403.234,60,18
N-t59b11xx,127105,PLEDA,208360.000,351.362,44,22
N-t59b11xx,6913359,PLEDA,208875.000,870.334,440,220
N-be75eec,3828708,PLEDA,233561.000,298.296,50,15
N-stabu70,1022749,PLEDA,351602.000,181.019,60,12
N-be75eec,3132617,PLEDA,233276.000,799.956,500,100
N-be75eec,3322591,PLEDA,232711.000,1446.142,500,250
N-t59b11xx,6313334,PLEDA,208115.000,894.239,4400,2200
N-t59b11xx,7724588,PLEDA,209055.000,768.097,440,132
N-be75eec,222360,PLEDA,234325.000,363.485,50,15
N-t59b11xx,32422,PLEDA,207885.000,580.984,440,132
N-be75eec_150,5712648,PLEDA,3320085.000,39950.329,150,75
N-stabu1_250,284450,PLEDA,7256279.000,39099.470,250,50
N-stabu70,135035,PLEDA,357604.000,979.994,600,120
N-stabu1_250,2619974,PLEDA,7456990.000,285009.808,25000,7500
N-t59b11xx,184828,PLEDA,208115.000,1412.687,4400,2200
N-stabu70,9011692,PLEDA,357683.000,2614.131,6000,3000
N-t59b11xx,199928,PLEDA,205250.000,56.615,44,8
N-be75eec,5119033,PLEDA,233866.000,1296.987,500,250
N-stabu1_250,5315882,PLEDA,7429503.000,216662.276,25000,7500
N-stabu1_250,8621646,PLEDA,7459159.000,169186.150,2500,750
N-stabu70,296852,PLEDA,355703.000,601.601,60,18
N-stabu70,7823429,PLEDA,358843.000,3682.142,600,300
N-be75eec_150,8616934,PLEDA,3341150.000,25057.354,1500,450
N-be75eec_150,7715086,PLEDA,3333005.000,45445.373,1500,450
N-be75eec,9032678,PLEDA,233153.000,2336.223,5000,2500
N-stabu1_250,1316721,PLEDA,7412389.000,93710.107,2500,500
N-be75eec_150,4321350,PLEDA,3344044.000,25001.956,15000,3000
N-be75eec_150,311678,PLEDA,3328664.000,15198.713,1500,300
N-stabu70,767290,PLEDA,357180.000,981.729,600,120
N-t59b11xx,5210986,PLEDA,208145.000,363.843,4400,880
N-t59b11xx,3518887,PLEDA,208145.000,549.254,4400,1320
N-stabu1_250,1627898,PLEDA,7446143.000,270512.296,25000,5000
N-t59b11xx,3324344,PLEDA,208085.000,1490.966,440,220
N-be75eec_150,4531634,PLEDA,3340323.000,110573.052,15000,7500
N-be75eec,1015729,PLEDA,232266.000,137.137,50,10
N-be75eec,733244,PLEDA,233123.000,159.248,50,10
N-t59b11xx,3623051,PLEDA,208145.000,888.136,4400,2200
N-be75eec,6523808,PLEDA,234368.000,193.688,50,15
N-stabu70,8327095,PLEDA,353348.000,675.038,60,18
N-stabu70,736056,PLEDA,353107.000,230.130,60,12
N-stabu70,129890,PLEDA,356753.000,1615.454,60,30
N-be75eec,6113104,PLEDA,233148.000,561.316,5000,1000
N-be75eec_150,5526321,PLEDA,3262652.000,5699.187,150,30
N-be75eec,2229007,PLEDA,234110.000,523.762,500,100
N-be75eec_150,178077,PLEDA,3336846.000,36348.736,15000,4500
N-stabu1_250,7221268,PLEDA,7438019.000,295729.568,25000,12500
N-t59b11xx,227420,PLEDA,209130.000,395.776,440,88
N-t59b11xx,2614104,PLEDA,208115.000,723.323,4400,1320
N-stabu70,875060,PLEDA,357075.000,4020.528,600,300
N-stabu1_250,1614274,PLEDA,7442791.000,140745.674,25000,5000
N-t59b11xx,80325,PLEDA,208145.000,552.175,4400,1320
N-be75eec_150,1228805,PLEDA,3329645.000,39094.942,150,75
N-be75eec,2023863,PLEDA,233660.000,362.596,50,15
N-t59b11xx,8913690,PLEDA,208115.000,792.509,4400,1320
N-t59b11xx,4123279,PLEDA,209115.000,580.818,440,132
N-be75eec,8321623,PLEDA,233140.000,235.574,50,15
N-be75eec,4720649,PLEDA,233699.000,305.514,50,15
N-t59b11xx,834420,PLEDA,206950.000,74.439,44,13
N-t59b11xx,7317098,PLEDA,206030.000,35.456,44,8
N-stabu1_250,7416527,PLEDA,7320097.000,114727.944,250,75
N-be75eec_150,2117161,PLEDA,3303860.000,39049.914,150,75
N-t59b11xx,6213353,PLEDA,208145.000,530.830,4400,1320
N-t59b11xx,5529317,PLEDA,206960.000,39.508,44,8
N-t59b11xx,7225550,PLEDA,208200.000,1280.045,4400,2200
N-t59b11xx,8410162,PLEDA,208280.000,174.404,44,22
N-stabu70,6631017,PLEDA,356478.000,1891.309,60,30
N-be75eec,7623500,PLEDA,234320.000,522.546,500,100
N-be75eec,5924474,PLEDA,233261.000,882.216,500,150
N-be75eec_150,5825000,PLEDA,3334370.000,17062.831,1500,300
N-t59b11xx,1613344,PLEDA,208145.000,367.448,4400,880
N-stabu1_250,3625840,PLEDA,7458243.000,316499.954,25000,12500
N-t59b11xx,4814971,PLEDA,208440.000,195.505,44,22
N-t59b11xx,40655,PLEDA,208330.000,396.251,440,88
N-stabu1_250,3432657,PLEDA,7461451.000,139264.209,25000,5000
N-be75eec_150,6919221,PLEDA,3331708.000,45703.645,1500,750
N-be75eec,4028472,PLEDA,233660.000,791.386,500,100
N-be75eec,314081,PLEDA,233840.000,802.249,50,25
N-stabu70,5426414,PLEDA,357700.000,2428.063,6000,3000
N-be75eec,3530644,PLEDA,233098.000,1279.467,5000,1500
N-be75eec,6627255,PLEDA,233512.000,756.315,50,25
N-stabu1_250,6510682,PLEDA,7304964.000,69515.798,250,75
N-stabu70,1419750,PLEDA,356988.000,1452.211,600,180
N-stabu1_250,293623,PLEDA,7330309.000,91418.628,250,75
N-stabu1_250,1014751,PLEDA,7288111.000,52087.745,250,50
N-stabu70,212308,PLEDA,355777.000,349.602,60,18
N-be75eec_150,1330065,PLEDA,3331161.000,14169.920,1500,300
N-be75eec,595119,PLEDA,233347.000,880.209,500,150
N-stabu1_250,120100,PLEDA,7280296.000,52079.688,250,50
N-be75eec,212001,PLEDA,234231.000,752.425,50,25
N-stabu1_250,694462,PLEDA,7446053.000,268974.869,2500,1250
N-t59b11xx,762677,PLEDA,209015.000,393.096,440,88
N-be75eec_150,2019410,PLEDA,3280969.000,11877.515,150,45
N-t59b11xx,620028,PLEDA,207785.000,1354.038,440,220
N-be75eec,1914525,PLEDA,233238.000,75.911,50,10
N-stabu1_250,1311096,PLEDA,7467408.000,203032.998,2500,500
N-stabu1_250,4922255,PLEDA,7464520.000,97389.377,2500,500
N-be75eec_150,4629718,PLEDA,3270792.000,4415.627,150,30
N-be75eec_150,269751,PLEDA,3340679.000,37292.319,15000,4500
N-t59b11xx,449731,PLEDA,208145.000,793.262,4400,1320
N-be75eec_150,8224699,PLEDA,3212663.000,8278.304,150,30
N-t59b11xx,348420,PLEDA,208145.000,370.531,4400,880
N-stabu70,2628205,PLEDA,357840.000,2232.738,6000,1800
N-t59b11xx,793573,PLEDA,208685.000,544.966,4400,880
N-t59b11xx,2817070,PLEDA,206115.000,37.304,44,8
N-stabu1_250,3525227,PLEDA,7440210.000,210027.407,25000,7500
N-be75eec_150,412602,PLEDA,3359509.000,24576.098,1500,450
N-stabu70,1116741,PLEDA,354941.000,647.168,60,18
N-stabu1_250,211886,PLEDA,7325115.000,145412.920,250,75
N-stabu70,5614789,PLEDA,354921.000,803.171,60,18
N-t59b11xx,641212,PLEDA,205505.000,35.140,44,8
N-stabu1_250,4228318,PLEDA,7457322.000,272201.954,2500,1250
N-stabu1_250,7422055,PLEDA,7369325.000,149355.123,250,75
N-be75eec,127625,PLEDA,234082.000,696.254,50,25
N-stabu70,8029329,PLEDA,358122.000,1424.003,6000,1800
N-be75eec,824543,PLEDA,232835.000,143.476,50,10
N-stabu1_250,34966,PLEDA,7368068.000,266220.225,250,125
N-be75eec_150,619246,PLEDA,3332232.000,22893.651,15000,3000
N-stabu70,7716530,PLEDA,357938.000,1302.947,600,180
N-t59b11xx,2111603,PLEDA,208475.000,439.581,44,22
N-be75eec,159986,PLEDA,233227.000,2466.634,500,250
N-stabu70,229145,PLEDA,357103.000,979.796,600,120
N-t59b11xx,5729172,PLEDA,208470.000,290.382,44,22
N-stabu1_250,4823151,PLEDA,7383929.000,166852.058,250,125
N-stabu1_250,3318172,PLEDA,7460817.000,257860.539,2500,1250
N-stabu70,7532485,PLEDA,357742.000,2653.958,60,30
N-stabu1_250,371908,PLEDA,7253606.000,31618.185,250,50
N-be75eec,85006,PLEDA,233120.000,839.317,5000,1500
N-stabu70,6512221,PLEDA,356439.000,465.896,60,18
N-t59b11xx,868867,PLEDA,208555.000,506.824,440,132
N-stabu1_250,1120835,PLEDA,7291154.000,119906.969,250,75
N-be75eec_150,83180,PLEDA,3337166.000,63527.134,15000,4500
N-stabu1_250,3416511,PLEDA,7427612.000,148172.364,25000,5000
N-be75eec,8711155,PLEDA,233240.000,1456.529,500,250
N-be75eec,6816894,PLEDA,233394.000,882.492,500,150
N-t59b11xx,2914995,PLEDA,206690.000,84.683,44,13
N-t59b11xx,585398,PLEDA,208630.000,398.445,440,88
N-stabu1_250,1132502,PLEDA,7283704.000,126174.215,250,75
N-stabu70,353818,PLEDA,357746.000,2734.052,6000,1800
N-t59b11xx,562755,PLEDA,207955.000,85.866,44,13
N-be75eec_150,3421221,PLEDA,3333802.000,27356.108,15000,3000
N-stabu1_250,5526162,PLEDA,7245177.000,32204.899,250,50
N-t59b11xx,8130427,PLEDA,208145.000,886.382,4400,2200
N-t59b11xx,3315439,PLEDA,208375.000,973.991,440,220
N-stabu70,1227198,PLEDA,355561.000,1614.710,60,30
N-stabu1_250,764694,PLEDA,7477319.000,84988.243,2500,500
N-be75eec_150,799250,PLEDA,3345992.000,28102.622,15000,3000
N-be75eec_150,443258,PLEDA,3332497.000,44534.821,15000,4500
N-stabu1_250,526091,PLEDA,7464702.000,251071.521,2500,750
N-stabu70,735265,PLEDA,354557.000,189.123,60,12
N-be75eec,603464,PLEDA,233227.000,1437.626,500,250
N-be75eec,7326523,PLEDA,232325.000,150.095,50,10
N-t59b11xx,4622528,PLEDA,205270.000,42.924,44,8
N-be75eec_150,8215758,PLEDA,3237583.000,3765.898,150,30
N-t59b11xx,3812075,PLEDA,207470.000,139.513,44,13
N-stabu70,5818208,PLEDA,358759.000,982.947,600,120
N-be75eec_150,6426031,PLEDA,3253966.000,4930.944,150,30
N-t59b11xx,8611441,PLEDA,208935.000,591.945,440,132
N-stabu1_250,3713937,PLEDA,7258118.000,45134.276,250,50
N-stabu70,5226690,PLEDA,357944.000,966.997,6000,1200
N-be75eec,1553,PLEDA,232717.000,133.229,50,10
N-be75eec,382358,PLEDA,233418.000,279.027,50,15
N-stabu1_250,778863,PLEDA,7470286.000,256987.985,2500,750
N-stabu70,159632,PLEDA,354976.000,2418.803,600,300
N-be75eec_150,382430,PLEDA,3292192.000,20236.570,150,45
N-t59b11xx,22512,PLEDA,209080.000,610.625,440,88
N-be75eec_150,703951,PLEDA,3329974.000,27637.997,15000,3000
N-t59b11xx,8018060,PLEDA,208765.000,516.686,4400,1320
N-t59b11xx,1925332,PLEDA,206230.000,65.625,44,8
N-stabu1_250,8627893,PLEDA,7432516.000,375291.801,2500,750
N-be75eec,7212735,PLEDA,232960.000,1433.872,5000,2500
N-be75eec_150,386783,PLEDA,3253535.000,11194.757,150,45
N-stabu70,44459,PLEDA,358006.000,1581.081,6000,1800
N-be75eec,194217,PLEDA,233636.000,96.574,50,10
N-be75eec,2724116,PLEDA,233097.000,2464.396,5000,2500
