instance,problem,problem size,max evaluations,batch size,noise length,hidden dim,prehead layers,num samples,learning rate,utility function,device,iterations,elapsed time in secs,best fitness,num trainable params
N-be75eec,lop,50,2500000,32,128,128,1,64,0.001,standarized_utility,cuda:0,1220,54.761622190475464,234221.0,22962
tai20_20_8.fsp,pfsp,20,400000,32,64,1024,2,64,0.01,standarized_utility,cuda:0,195,12.291730880737305,35183.0,22538450
tai20_5_8.fsp,pfsp,20,400000,32,256,128,3,64,0.0001,standarized_utility,cuda:0,195,10.417667388916016,14655.0,1345490
N-stabu70,lop,60,3600000,32,64,128,2,64,0.01,standarized_utility,cuda:0,1757,89.17329359054565,355662.0,32572
tai100_10_9.fsp,pfsp,100,10000000,32,64,1024,3,64,0.001,standarized_utility,cuda:0,4882,1813.3484859466553,311507.0,221752250
N-t59b11xx,lop,44,1936000,32,128,1024,1,64,0.01,standarized_utility,cuda:0,945,23.67180585861206,208490.0,177196
tai20_20_8.fsp,pfsp,20,400000,32,256,128,1,64,0.0001,standarized_utility,cuda:0,195,17.489126205444336,34780.0,685010
tai100_10_9.fsp,pfsp,100,10000000,32,256,128,1,64,0.001,standarized_utility,cuda:0,4882,1338.4595024585724,303844.0,3941050
N-t59b11xx,lop,44,1936000,32,64,512,1,64,0.01,standarized_utility,cuda:0,945,35.443533420562744,208760.0,55852
tai20_20_8.fsp,pfsp,20,400000,32,256,128,1,64,0.001,standarized_utility,cuda:0,195,17.826747179031372,33872.0,685010
N-stabu70,lop,60,3600000,32,64,512,1,64,0.0001,standarized_utility,cuda:0,1757,98.39551544189453,357839.0,64060
N-stabu70,lop,60,3600000,32,64,512,2,64,0.01,standarized_utility,cuda:0,1757,57.5856032371521,352634.0,326716
tai20_20_8.fsp,pfsp,20,400000,32,256,128,3,64,0.0001,standarized_utility,cuda:0,195,12.827713251113892,34055.0,1345490
tai20_20_8.fsp,pfsp,20,400000,32,256,128,2,64,0.01,standarized_utility,cuda:0,195,14.278657913208008,34082.0,1015250
N-stabu70,lop,60,3600000,32,64,512,3,64,0.01,standarized_utility,cuda:0,1757,53.44336700439453,338377.0,589372
tai200_10_9.fsp,pfsp,200,40000000,32,128,512,2,64,0.01,standarized_utility,cuda:0,19531,8122.979477643967,1094240.0,76052100
tai20_5_8.fsp,pfsp,20,400000,32,128,1024,3,64,0.0001,standarized_utility,cuda:0,195,20.577054023742676,14622.0,44841170
N-be75eec_150,lop,150,22500000,32,256,1024,3,64,0.001,standarized_utility,cuda:0,10986,807.521167755127,3265318.0,2516118
N-be75eec,lop,50,2500000,32,64,1024,1,64,0.01,standarized_utility,cuda:0,1220,52.140886068344116,234056.0,117810
N-t59b11xx,lop,44,1936000,32,64,512,2,64,0.01,standarized_utility,cuda:0,945,35.06256651878357,207605.0,318508
N-t59b11xx,lop,44,1936000,32,256,1024,2,64,0.01,standarized_utility,cuda:0,945,40.6394419670105,191200.0,1357868
N-be75eec,lop,50,2500000,32,64,512,2,64,0.01,standarized_utility,cuda:0,1220,61.26330256462097,232517.0,321586
tai50_10_9.fsp,pfsp,50,2500000,32,256,1024,1,64,0.0001,standarized_utility,cuda:0,1220,101.11458992958069,92045.0,14465275
tai20_20_8.fsp,pfsp,20,400000,32,128,128,1,64,0.001,standarized_utility,cuda:0,195,17.222053050994873,33859.0,357330
N-t59b11xx,lop,44,1936000,32,64,512,1,64,0.0001,standarized_utility,cuda:0,945,23.555460929870605,207675.0,55852
N-be75eec_150,lop,150,22500000,32,256,1024,2,64,0.0001,standarized_utility,cuda:0,10986,791.8684859275818,3357245.0,1466518
tai100_10_9.fsp,pfsp,100,10000000,32,256,1024,1,64,0.0001,standarized_utility,cuda:0,4882,1359.6917939186096,302940.0,31493050
tai100_10_9.fsp,pfsp,100,10000000,32,256,512,3,64,0.0001,standarized_utility,cuda:0,4882,1035.1223328113556,306183.0,68280250
tai20_20_8.fsp,pfsp,20,400000,32,256,512,3,64,0.01,standarized_utility,cuda:0,195,12.013887166976929,35009.0,13245650
tai20_5_8.fsp,pfsp,20,400000,32,256,128,3,64,0.001,standarized_utility,cuda:0,195,19.52970552444458,14682.0,1345490
N-be75eec,lop,50,2500000,32,256,1024,2,64,0.0001,standarized_utility,cuda:0,1220,51.31524729728699,234151.0,1364018
