,instance,repetition,algorithm,lambda,alpha,best fitness,evals,elapsed time in secs
5450,N-t59b11xx,14,PL,100,0.5,208290,819658,9.12
5451,N-t59b11xx,23,PL,100,0.75,209120,1088598,9.089
5453,N-t59b11xx,18,PL,100,0.1,208330,1172926,8.34
5454,N-t59b11xx,25,PL,100,0.1,208290,1413272,13.296
5458,N-t59b11xx,11,PL,100,0.75,208300,1838780,8.986
5460,N-t59b11xx,26,PL,100,0.75,208330,1320045,9.744
5462,N-t59b11xx,22,PL,100,0.1,208280,603615,8.732
5464,N-t59b11xx,22,PL,100,0.5,208290,476542,13.292
5466,N-t59b11xx,19,PL,100,0.5,208320,1324466,9.301
5469,N-t59b11xx,12,PL,100,0.75,209150,1809663,14.038
5470,N-t59b11xx,27,PL,100,0.1,208290,1913636,12.032
5471,N-t59b11xx,11,PL,100,0.5,209120,1047249,8.633
5474,N-t59b11xx,18,PL,100,0.5,208290,1074301,8.648
5478,N-t59b11xx,30,PL,100,0.1,208280,897540,14.701
5480,N-t59b11xx,18,PL,100,0.75,209150,1799065,8.48
5484,N-t59b11xx,17,PL,100,0.5,208290,1016861,9.184
5485,N-t59b11xx,20,PL,100,0.5,208350,733493,9.168
5486,N-t59b11xx,25,PL,100,0.75,208990,1403638,14.92
5489,N-t59b11xx,20,PL,100,0.9,208950,1692998,8.355
5490,N-t59b11xx,24,PL,100,0.75,209090,1092274,8.479
5493,N-t59b11xx,23,PL,100,0.5,209110,1415100,9.226
5494,N-t59b11xx,21,PL,100,0.5,208260,547887,12.225
5495,N-t59b11xx,27,PL,100,0.5,209130,1916514,8.863
5497,N-t59b11xx,25,PL,100,0.5,208300,1480671,13.22
5499,N-t59b11xx,15,PL,100,0.5,208390,430807,13.229
5501,N-t59b11xx,29,PL,100,0.5,208460,1860549,14.139
5503,N-t59b11xx,29,PL,100,0.75,209030,1828132,12.881
5504,N-t59b11xx,16,PL,100,0.5,208250,312164,9.118
5505,N-t59b11xx,20,PL,100,0.75,209120,1090661,12.753
5506,N-t59b11xx,16,PL,100,0.9,209050,1856989,8.787
5507,N-t59b11xx,19,PL,100,0.9,208810,711541,8.792
5508,N-t59b11xx,28,PL,100,0.75,208380,1504271,8.999
5509,N-t59b11xx,12,PL,100,0.5,208390,892441,14.289
5510,N-t59b11xx,30,PL,100,0.9,209160,1791436,8.573
5511,N-t59b11xx,24,PL,100,0.9,208920,1807812,9.716
5512,N-t59b11xx,22,PL,100,0.75,209090,1750121,14.967
5513,N-t59b11xx,12,PL,100,0.9,208890,769389,7.954
5515,N-t59b11xx,18,PL,100,0.9,209080,1171804,13.462
5518,N-t59b11xx,28,PL,100,0.5,208400,675483,14.153
5519,N-t59b11xx,13,PL,100,0.9,208330,1531670,8.673
5522,N-t59b11xx,15,PL,100,0.9,208280,1198781,14.126
5529,N-t59b11xx,15,PL,100,0.75,208830,967188,14.518
5533,N-t59b11xx,19,PL,100,0.75,209110,808157,12.895
5535,N-t59b11xx,22,PL,100,0.9,208330,1353620,14.877
5536,N-t59b11xx,14,PL,100,0.9,209100,1369312,9.074
5539,N-t59b11xx,13,PL,100,0.75,208380,1261403,8.991
5540,N-t59b11xx,27,PL,100,0.75,208340,773088,7.78
5542,N-t59b11xx,17,PL,100,0.9,209050,1884388,8.762
5545,N-t59b11xx,14,PL,1000,0.001,183730,1390188,9.027
5546,N-t59b11xx,26,PL,100,0.9,209130,1931927,8.637
5547,N-t59b11xx,29,PL,1000,0.001,185200,1563221,8.947
5548,N-t59b11xx,16,PL,100,0.75,209120,1803074,10.81
5550,N-t59b11xx,26,PL,1000,0.001,184715,1519276,9.977
5551,N-t59b11xx,17,PL,100,0.75,209100,331087,15.331
5552,N-t59b11xx,14,PL,100,0.75,209140,744731,12.402
5553,N-t59b11xx,13,PL,1000,0.001,183415,1171550,12.091
5557,N-t59b11xx,25,PL,100,0.9,209090,476383,8.826
5558,N-t59b11xx,16,PL,1000,0.01,201850,1912103,8.336
5559,N-t59b11xx,17,PL,1000,0.001,182945,1398917,9.453
5560,N-t59b11xx,28,PL,100,0.9,208820,787966,15.612
5562,N-t59b11xx,20,PL,1000,0.001,183055,1437365,14.491
5564,N-t59b11xx,21,PL,100,0.75,209120,1704717,15.326
5565,N-t59b11xx,23,PL,100,0.9,208310,1723914,13.928
5567,N-t59b11xx,11,PL,100,0.9,209120,352283,8.635
5568,N-t59b11xx,21,PL,100,0.9,208820,1880336,8.595
5570,N-t59b11xx,17,PL,1000,0.01,201125,1759557,9.025
5572,N-t59b11xx,19,PL,1000,0.001,184385,1765182,10.12
5575,N-t59b11xx,30,PL,100,0.75,208100,363734,14.95
5576,N-t59b11xx,15,PL,1000,0.001,186005,545081,14.333
5577,N-t59b11xx,30,PL,1000,0.001,185395,1524855,14.389
5579,N-t59b11xx,24,PL,1000,0.001,185445,1557677,9.569
5582,N-t59b11xx,11,PL,1000,0.01,203215,1564172,14.586
5586,N-t59b11xx,25,PL,1000,0.001,182295,1697998,12.565
5587,N-t59b11xx,26,PL,1000,0.01,202185,1773343,10.157
5591,N-t59b11xx,27,PL,100,0.9,209110,1308150,13.469
5592,N-t59b11xx,12,PL,1000,0.001,185830,1845361,13.187
5594,N-t59b11xx,13,PL,1000,0.01,201760,1768297,10.958
5595,N-t59b11xx,11,PL,1000,0.05,207220,1387455,8.356
5598,N-t59b11xx,27,PL,1000,0.01,201095,1548924,15.1
5599,N-t59b11xx,28,PL,1000,0.001,185340,1421625,15.406
5603,N-t59b11xx,19,PL,1000,0.05,207365,1171767,8.873
5604,N-t59b11xx,22,PL,1000,0.01,202395,1772560,10.359
5605,N-t59b11xx,19,PL,1000,0.01,202385,1880870,10.052
5606,N-t59b11xx,29,PL,100,0.9,209100,1466966,14.455
5607,N-t59b11xx,23,PL,1000,0.001,183960,1634406,8.895
5608,N-t59b11xx,30,PL,1000,0.01,201810,1881280,9.48
5609,N-t59b11xx,11,PL,1000,0.001,184740,1786543,15.232
5610,N-t59b11xx,16,PL,1000,0.001,184710,1597420,11.454
5612,N-t59b11xx,22,PL,1000,0.001,185140,1087300,14.483
5615,N-t59b11xx,25,PL,1000,0.01,201755,1684208,11.231
5617,N-t59b11xx,14,PL,1000,0.01,202570,1925328,12.481
5620,N-t59b11xx,29,PL,1000,0.05,207030,1815635,10.354
5622,N-t59b11xx,18,PL,1000,0.001,182905,1228966,14.266
5623,N-t59b11xx,28,PL,1000,0.01,201725,1915201,8.969
5627,N-t59b11xx,29,PL,1000,0.01,202405,1919991,13.734
5629,N-t59b11xx,20,PL,1000,0.01,201455,1932885,9.066
5634,N-t59b11xx,27,PL,1000,0.001,189015,1731053,12.699
5637,N-t59b11xx,17,PL,1000,0.05,207190,1931918,9.024
5643,N-t59b11xx,24,PL,1000,0.01,202055,1703915,9.016
5645,N-t59b11xx,22,PL,1000,0.05,207315,1714270,8.965
5646,N-t59b11xx,15,PL,1000,0.01,200775,1672902,9.063
5647,N-t59b11xx,21,PL,1000,0.05,207265,1857128,12.66
5648,N-t59b11xx,21,PL,1000,0.01,202555,1760986,14.411
5649,N-t59b11xx,16,PL,1000,0.05,207280,1913970,14.73
5650,N-t59b11xx,21,PL,1000,0.001,183735,1471095,14.6
5654,N-t59b11xx,24,PL,1000,0.05,207105,1693504,9.169
5655,N-t59b11xx,26,PL,1000,0.05,207175,1813989,12.298
5656,N-t59b11xx,23,PL,1000,0.1,207940,1803651,8.668
5657,N-t59b11xx,12,PL,1000,0.05,207405,1894350,11.056
5660,N-t59b11xx,12,PL,1000,0.01,201070,1900815,14.64
5663,N-t59b11xx,29,PL,1000,0.1,207950,1913436,8.503
5664,N-t59b11xx,13,PL,1000,0.05,207610,1880849,15.183
5667,N-t59b11xx,18,PL,1000,0.01,200705,1794588,15.758
5673,N-t59b11xx,24,PL,1000,0.1,207840,1037714,14.415
5675,N-t59b11xx,23,PL,1000,0.01,203555,1838278,15.723
5676,N-t59b11xx,20,PL,1000,0.05,207210,1782712,8.535
5677,N-t59b11xx,15,PL,1000,0.05,207600,1900472,8.944
5682,N-t59b11xx,14,PL,1000,0.05,207415,1806845,14.966
5683,N-t59b11xx,11,PL,1000,0.1,207770,1777144,14.881
5684,N-t59b11xx,18,PL,1000,0.05,207005,1591794,14.745
5685,N-t59b11xx,13,PL,1000,0.5,208260,1015379,9.07
5687,N-t59b11xx,22,PL,1000,0.1,207840,1672875,10.9
5688,N-t59b11xx,17,PL,1000,0.1,208110,1844046,13.317
5689,N-t59b11xx,25,PL,1000,0.05,207230,1813551,8.838
5690,N-t59b11xx,30,PL,1000,0.1,207880,1908641,8.982
5691,N-t59b11xx,30,PL,1000,0.05,207460,1886539,8.509
5692,N-t59b11xx,12,PL,1000,0.5,208290,1171400,9.272
5694,N-t59b11xx,23,PL,1000,0.05,207190,1714152,11.93
5697,N-t59b11xx,12,PL,1000,0.1,207800,1791189,14.32
5700,N-t59b11xx,21,PL,1000,0.1,207890,1796299,8.989
5701,N-t59b11xx,20,PL,1000,0.5,208250,931718,8.658
5704,N-t59b11xx,28,PL,1000,0.05,207125,1912022,8.971
5705,N-t59b11xx,25,PL,1000,0.1,207830,1717385,15.174
5708,N-t59b11xx,20,PL,1000,0.1,207990,1564749,8.564
5709,N-t59b11xx,27,PL,1000,0.5,208260,1064450,12.748
5710,N-t59b11xx,28,PL,1000,0.1,207890,1933037,9.14
5711,N-t59b11xx,27,PL,1000,0.05,207320,1659435,12.73
5713,N-t59b11xx,23,PL,1000,0.5,208330,1677011,14.971
5714,N-t59b11xx,15,PL,1000,0.1,207860,1775419,7.984
5716,N-t59b11xx,29,PL,1000,0.5,208260,937342,8.9
5717,N-t59b11xx,24,PL,1000,0.5,208260,1188102,12.768
5718,N-t59b11xx,12,PL,1000,0.75,208300,1561067,9.165
5720,N-t59b11xx,28,PL,1000,0.5,208260,930939,14.677
5724,N-t59b11xx,30,PL,1000,0.5,208260,1037160,8.706
5726,N-t59b11xx,19,PL,1000,0.5,208270,1037680,9.185
5727,N-t59b11xx,18,PL,1000,0.5,208250,746522,9.626
5729,N-t59b11xx,13,PL,1000,0.75,208250,1244528,8.504
5730,N-t59b11xx,17,PL,1000,0.5,208260,1707316,8.425
5732,N-t59b11xx,13,PL,1000,0.1,207870,1687284,8.615
5737,N-t59b11xx,15,PL,1000,0.5,208280,986804,9.549
5739,N-t59b11xx,19,PL,1000,0.1,207800,1666323,9.17
5740,N-t59b11xx,16,PL,1000,0.1,207850,1804019,14.895
5742,N-t59b11xx,18,PL,1000,0.1,207940,1368506,9.734
5743,N-t59b11xx,24,PL,1000,0.75,208250,986861,8.247
5744,N-t59b11xx,14,PL,1000,0.1,207830,1934727,11.855
5746,N-t59b11xx,22,PL,1000,0.75,208270,614170,14.358
5751,N-t59b11xx,14,PL,1000,0.5,208280,1084263,8.397
5753,N-t59b11xx,26,PL,1000,0.5,208270,1060624,8.434
5754,N-t59b11xx,26,PL,1000,0.1,207965,1788335,11.797
5756,N-t59b11xx,27,PL,1000,0.1,207890,1659401,13.304
5757,N-t59b11xx,26,PL,1000,0.75,208260,658875,9.877
5761,N-t59b11xx,17,PL,1000,0.75,208340,1620387,8.731
5762,N-t59b11xx,19,PL,1000,0.75,208260,1477297,15.353
5763,N-t59b11xx,27,PL,1000,0.75,208300,829693,11.348
5764,N-t59b11xx,21,PL,1000,0.5,208240,1077258,15.001
5767,N-t59b11xx,20,PL,1000,0.75,208300,990159,8.81
5773,N-t59b11xx,16,PL,1000,0.5,208280,719928,9.008
5775,N-t59b11xx,20,PL,1000,0.9,208260,687771,8.029
5776,N-t59b11xx,11,PL,1000,0.9,208290,1256335,13.52
5778,N-t59b11xx,28,PL,1000,0.75,208320,1776049,13.762
5779,N-t59b11xx,22,PL,1000,0.5,208340,1177007,8.986
5780,N-t59b11xx,11,PL,1000,0.5,208280,1568085,12.549
5785,N-t59b11xx,24,PL,1000,0.9,208290,1494445,8.877
5786,N-t59b11xx,14,PL,1000,0.75,208260,505106,7.7
5790,N-t59b11xx,11,PL,1000,0.75,208280,1723009,11.407
5791,N-t59b11xx,19,PL,1000,0.9,208300,1455017,14.505
5792,N-t59b11xx,25,PL,1000,0.5,208270,1025447,10.615
5796,N-t59b11xx,23,PL,1000,0.75,208280,691398,13.735
5798,N-t59b11xx,25,PL,1000,0.75,208240,1148615,7.549
5801,N-t59b11xx,21,PL,1000,0.9,208280,1815911,13.524
5802,N-t59b11xx,15,PL,10000,0.001,184240,1233731,8.7
5804,N-t59b11xx,16,PL,1000,0.9,208300,1376442,8.289
5806,N-t59b11xx,13,PL,10000,0.001,181645,1817699,9.528
5808,N-t59b11xx,16,PL,1000,0.75,208245,524585,14.523
5809,N-t59b11xx,21,PL,1000,0.75,208280,965066,8.22
5811,N-t59b11xx,14,PL,10000,0.001,179500,147391,8.88
5812,N-t59b11xx,16,PL,10000,0.001,180955,1612107,9.095
5813,N-t59b11xx,13,PL,1000,0.9,208270,805561,8.703
5815,N-t59b11xx,26,PL,1000,0.9,208250,527168,13.355
5818,N-t59b11xx,30,PL,1000,0.9,208250,671482,8.262
5819,N-t59b11xx,27,PL,1000,0.9,208300,1866236,8.432
5821,N-t59b11xx,30,PL,1000,0.75,208270,1132446,14.514
5822,N-t59b11xx,15,PL,1000,0.75,208300,1782208,12.006
5826,N-t59b11xx,23,PL,10000,0.001,179290,173906,8.489
5828,N-t59b11xx,29,PL,1000,0.9,208310,1679962,14.968
5831,N-t59b11xx,25,PL,1000,0.9,208260,1091500,8.221
5833,N-t59b11xx,26,PL,10000,0.001,186880,1012308,11.838
5835,N-t59b11xx,23,PL,1000,0.9,208320,756091,8.286
5836,N-t59b11xx,28,PL,10000,0.001,179395,1327121,9.433
5838,N-t59b11xx,21,PL,10000,0.001,177740,390623,15.255
5839,N-t59b11xx,18,PL,1000,0.75,208290,1016143,15.338
5842,N-t59b11xx,29,PL,1000,0.75,208280,839571,14.653
5844,N-t59b11xx,15,PL,10000,0.01,186005,545081,8.513
5846,N-t59b11xx,17,PL,10000,0.01,182945,1398917,9.416
5848,N-t59b11xx,20,PL,10000,0.001,179750,1372918,8.823
5849,N-t59b11xx,22,PL,10000,0.001,178040,304987,9.506
5850,N-t59b11xx,14,PL,1000,0.9,208320,929187,8.853
5851,N-t59b11xx,28,PL,1000,0.9,208250,1751525,9.01
5855,N-t59b11xx,12,PL,1000,0.9,208320,839629,9.069
5856,N-t59b11xx,25,PL,10000,0.001,182830,1148996,9.233
5857,N-t59b11xx,15,PL,1000,0.9,208250,451608,8.678
5859,N-t59b11xx,20,PL,10000,0.01,183055,1437365,8.499
5866,N-t59b11xx,17,PL,1000,0.9,208290,1082401,11.675
5867,N-t59b11xx,13,PL,10000,0.01,183415,1171550,8.999
5870,N-t59b11xx,22,PL,1000,0.9,208310,692666,15.321
5871,N-t59b11xx,19,PL,10000,0.001,178515,512197,9.533
5872,N-t59b11xx,27,PL,10000,0.01,189015,1731053,8.531
5873,N-t59b11xx,16,PL,10000,0.01,184710,1597420,15.963
5874,N-t59b11xx,30,PL,10000,0.01,185395,1524855,10.923
5875,N-t59b11xx,18,PL,10000,0.001,183100,1497819,13.592
5876,N-t59b11xx,18,PL,1000,0.9,208330,808736,14.453
5880,N-t59b11xx,22,PL,10000,0.01,185140,1087300,9.192
5886,N-t59b11xx,17,PL,10000,0.001,181635,1927017,8.681
5888,N-t59b11xx,28,PL,10000,0.01,185340,1421625,8.752
5889,N-t59b11xx,11,PL,10000,0.001,177900,108152,11.208
5890,N-t59b11xx,12,PL,10000,0.001,179140,676344,9.544
5893,N-t59b11xx,24,PL,10000,0.01,185445,1557677,13.624
5900,N-t59b11xx,29,PL,10000,0.001,181185,1713549,9.274
5904,N-t59b11xx,16,PL,10000,0.05,194685,1930226,15.748
5905,N-t59b11xx,11,PL,10000,0.01,184740,1786543,8.359
5908,N-t59b11xx,11,PL,10000,0.05,196345,1708824,12.397
5909,N-t59b11xx,29,PL,10000,0.01,185170,1563221,8.745
5911,N-t59b11xx,17,PL,10000,0.05,195285,1854068,11.529
5914,N-t59b11xx,19,PL,10000,0.01,184385,1765182,14.28
5915,N-t59b11xx,15,PL,10000,0.05,195490,1844376,15.241
5917,N-t59b11xx,26,PL,10000,0.01,184715,1519276,14.752
5918,N-t59b11xx,30,PL,10000,0.001,180110,527930,12.929
5919,N-t59b11xx,21,PL,10000,0.01,183735,1471095,14.466
5922,N-t59b11xx,24,PL,10000,0.001,178995,750639,12.276
5923,N-t59b11xx,27,PL,10000,0.05,196850,1566564,8.504
5924,N-t59b11xx,27,PL,10000,0.001,182290,1593037,13.752
5925,N-t59b11xx,14,PL,10000,0.1,202570,1925328,8.607
5926,N-t59b11xx,18,PL,10000,0.01,182905,1228966,8.953
5929,N-t59b11xx,13,PL,10000,0.05,196755,1601171,15.741
5930,N-t59b11xx,22,PL,10000,0.05,196380,1680392,11.752
5933,N-t59b11xx,25,PL,10000,0.05,196495,1862648,13.766
5934,N-t59b11xx,19,PL,10000,0.1,202385,1880870,9.518
5935,N-t59b11xx,26,PL,10000,0.1,202185,1773343,9.859
5937,N-t59b11xx,25,PL,10000,0.01,182295,1697998,8.566
5939,N-t59b11xx,21,PL,10000,0.1,201495,1910991,9.549
5941,N-t59b11xx,12,PL,10000,0.05,195640,1828571,8.631
5943,N-t59b11xx,28,PL,10000,0.05,196285,1779688,8.448
5944,N-t59b11xx,12,PL,10000,0.01,185830,1845361,15.952
5948,N-t59b11xx,14,PL,10000,0.01,183730,1390188,15.936
5949,N-t59b11xx,17,PL,10000,0.1,201125,1759557,8.695
5950,N-t59b11xx,18,PL,10000,0.05,195765,1810319,15.104
5954,N-t59b11xx,20,PL,10000,0.05,196305,1880385,14.33
5956,N-t59b11xx,15,PL,10000,0.1,201535,1910539,8.675
5959,N-t59b11xx,28,PL,10000,0.1,201945,1739644,14.957
5961,N-t59b11xx,14,PL,10000,0.05,196990,1934584,15.052
5962,N-t59b11xx,18,PL,10000,0.1,202055,1919809,9.497
5964,N-t59b11xx,30,PL,10000,0.1,201810,1881280,12.013
5967,N-t59b11xx,23,PL,10000,0.01,185815,1808337,14.345
5972,N-t59b11xx,23,PL,10000,0.05,195280,1734626,12.284
5973,N-t59b11xx,27,PL,10000,0.1,201125,1667664,8.703
5974,N-t59b11xx,17,PL,10000,0.5,207180,1241751,9.304
5977,N-t59b11xx,12,PL,10000,0.1,201070,1900815,8.832
5979,N-t59b11xx,20,PL,10000,0.1,201455,1932885,14.642
5982,N-t59b11xx,29,PL,10000,0.1,202405,1919991,14.504
5984,N-t59b11xx,26,PL,10000,0.05,195445,1912079,12.597
5986,N-t59b11xx,24,PL,10000,0.05,195505,1850895,14.531
5989,N-t59b11xx,30,PL,10000,0.5,207195,1868989,8.802
5990,N-t59b11xx,11,PL,10000,0.1,203215,1564172,13.584
5991,N-t59b11xx,27,PL,10000,0.5,207515,1710616,10.206
5992,N-t59b11xx,24,PL,10000,0.1,202055,1703915,13.655
5993,N-t59b11xx,23,PL,10000,0.5,207250,1909282,10.736
5994,N-t59b11xx,30,PL,10000,0.05,194615,1886269,10.153
5996,N-t59b11xx,28,PL,10000,0.5,207130,1917129,13.799
5998,N-t59b11xx,24,PL,10000,0.5,207405,1696724,12.973
6002,N-t59b11xx,22,PL,10000,0.5,207205,1900456,13.638
6004,N-t59b11xx,19,PL,10000,0.05,194650,1900010,13.351
6006,N-t59b11xx,15,PL,10000,0.5,207180,1634210,8.678
6007,N-t59b11xx,18,PL,10000,0.5,207115,1907938,13.87
6009,N-t59b11xx,29,PL,10000,0.05,195950,1850131,14.249
6010,N-t59b11xx,21,PL,10000,0.05,195735,1681576,15.992
6019,N-t59b11xx,13,PL,10000,0.1,201760,1768297,8.595
6020,N-t59b11xx,12,PL,10000,0.75,207545,1868249,9.68
6022,N-t59b11xx,29,PL,10000,0.5,207280,1472318,11.677
6024,N-t59b11xx,23,PL,10000,0.1,203555,1838278,8.629
6025,N-t59b11xx,19,PL,10000,0.5,207315,1171767,8.578
6027,N-t59b11xx,30,PL,10000,0.75,207720,1836999,9.333
6030,N-t59b11xx,11,PL,10000,0.75,207720,1703270,14.11
6031,N-t59b11xx,12,PL,10000,0.5,207215,1894350,8.809
6032,N-t59b11xx,16,PL,10000,0.1,202000,1935955,14.535
6033,N-t59b11xx,22,PL,10000,0.1,202395,1772560,15.015
6037,N-t59b11xx,11,PL,10000,0.5,207070,1686971,13.895
6039,N-t59b11xx,26,PL,10000,0.9,207825,1491627,8.563
6041,N-t59b11xx,26,PL,10000,0.75,207615,1856564,9.407
6043,N-t59b11xx,11,PL,10000,0.9,207840,1514340,10.852
6044,N-t59b11xx,25,PL,10000,0.1,201715,1825163,14.439
6045,N-t59b11xx,27,PL,10000,0.9,207790,1878788,8.361
6048,N-t59b11xx,21,PL,10000,0.5,206990,1928726,9.369
6053,N-t59b11xx,14,PL,10000,0.5,207140,1874443,8.861
6054,N-t59b11xx,13,PL,10000,0.75,207630,1845419,13.541
6056,N-t59b11xx,12,PL,10000,0.9,207815,1446840,13.709
6058,N-t59b11xx,24,PL,10000,0.75,207540,1666248,8.949
6062,N-t59b11xx,17,PL,10000,0.75,207695,1451722,12.155
6063,N-t59b11xx,25,PL,10000,0.75,207640,1444797,8.687
6066,N-t59b11xx,20,PL,10000,0.5,207210,1713094,8.833
6068,N-t59b11xx,26,PL,10000,0.5,207420,1631699,8.719
6069,N-t59b11xx,13,PL,10000,0.5,207610,1880849,11.701
6070,N-t59b11xx,21,PL,10000,0.75,207570,1642492,8.232
6073,N-t59b11xx,15,PL,10000,0.75,207540,1630490,8.903
6075,N-t59b11xx,13,PL,10000,0.9,207880,1687284,13.695
6077,N-t59b11xx,23,PL,10000,0.75,207625,1488153,8.814
6078,N-t59b11xx,18,PL,10000,0.75,207685,1878111,9.874
6080,N-t59b11xx,14,PL,10000,0.75,207580,1426832,11.682
6083,N-t59b11xx,25,PL,10000,0.5,207360,1907872,11.658
6087,N-t59b11xx,15,PL,10000,0.9,207780,1907400,9.404
6089,N-t59b11xx,20,PL,10000,0.9,207750,1597616,14.561
6090,N-t59b11xx,27,PL,10000,0.75,207625,1856984,13.572
6092,N-t59b11xx,16,PL,10000,0.9,207755,1917995,14.974
6094,N-t59b11xx,29,PL,10000,0.75,207675,1832578,14.476
6096,N-t59b11xx,20,PL,10000,0.75,207560,1877763,8.926
6097,N-t59b11xx,19,PL,10000,0.75,207590,1738914,9.23
6098,N-t59b11xx,16,PL,10000,0.75,207980,1804019,8.962
6099,N-t59b11xx,28,PL,10000,0.9,207750,1786005,14.581
6101,N-t59b11xx,28,PL,10000,0.75,207690,1749474,12.204
6103,N-t59b11xx,17,PL,10000,0.9,207820,1928585,13.131
6105,N-t59b11xx,30,PL,10000,0.9,207850,1910922,12.807
6107,N-t59b11xx,24,PL,10000,0.9,207770,1660056,8.861
6111,N-t59b11xx,22,PL,10000,0.75,207635,1879743,14.034
6114,N-t59b11xx,22,PL,10000,0.9,207720,1803189,14.976
6115,N-t59b11xx,18,PL,10000,0.9,207820,1720273,9.415
6122,N-t59b11xx,25,PL,10000,0.9,207820,1816222,8.609
6123,N-t59b11xx,21,PL,10000,0.9,207830,1786635,8.403
6124,N-t59b11xx,14,PL,10000,0.9,207845,1815351,15.25
6128,N-t59b11xx,23,PL,10000,0.9,207785,1732006,8.312
6129,N-t59b11xx,29,PL,10000,0.9,207760,1890946,8.658
6132,N-t59b11xx,19,PL,10000,0.9,207740,1551699,9.279
8381,N-be75eec_150,1,PL,1000,0.05,3362317,20415352,672.852
8382,N-be75eec_150,10,PL,1000,0.01,3284359,21531884,677.108
8383,N-be75eec_150,9,PL,1000,0.05,3352290,18348577,676.052
8384,N-be75eec_150,7,PL,1000,0.05,3369750,15465559,677.309
8385,N-be75eec_150,1,PL,1000,0.01,3289330,22398419,678.333
8386,N-be75eec_150,9,PL,1000,0.01,3298284,22401890,678.247
8387,N-be75eec_150,8,PL,1000,0.01,3290340,22213439,677.732
8388,N-be75eec_150,4,PL,1000,0.01,3295413,22256010,678.03
8389,N-be75eec_150,3,PL,1000,0.001,2984029,22471933,683.531
8390,N-be75eec_150,5,PL,1000,0.001,2981517,22350229,682.652
8391,N-be75eec_150,2,PL,1000,0.001,2987887,22085062,682.697
8392,N-be75eec_150,4,PL,1000,0.05,3365661,16402547,676.921
8393,N-be75eec_150,9,PL,1000,0.001,2990796,21166571,682.52
8394,N-be75eec_150,10,PL,1000,0.001,3012812,22376578,683.338
8395,N-be75eec_150,4,PL,1000,0.001,2981355,22306653,683.017
8396,N-be75eec_150,6,PL,1000,0.05,3360004,16511042,674.839
8397,N-be75eec_150,2,PL,1000,0.05,3368061,20534141,679.278
8398,N-be75eec_150,2,PL,1000,0.01,3292963,20654820,678.837
8399,N-be75eec_150,3,PL,1000,0.05,3360997,16498529,672.792
8400,N-be75eec_150,6,PL,1000,0.001,2980402,21304840,683.045
8401,N-be75eec_150,6,PL,1000,0.01,3290807,21852284,678.44
8402,N-be75eec_150,5,PL,1000,0.01,3291021,21928696,678.995
8403,N-be75eec_150,8,PL,1000,0.05,3357131,18037174,673.516
8404,N-be75eec_150,10,PL,1000,0.05,3360129,16996857,671.623
8405,N-be75eec_150,7,PL,1000,0.001,2983961,22035107,690.262
8406,N-be75eec_150,5,PL,1000,0.05,3363779,14605390,674.631
8407,N-be75eec_150,7,PL,1000,0.01,3293225,21429219,678.45
8408,N-be75eec_150,3,PL,1000,0.01,3290715,21801516,677.842
8409,N-be75eec_150,8,PL,1000,0.001,2983492,21964666,682.587
8410,N-be75eec_150,1,PL,1000,0.001,2978844,22055408,685.35
8411,N-be75eec_150,10,PL,100,0.75,3364328,20606682,744.854
8412,N-be75eec_150,9,PL,100,0.75,3379824,9294016,740.988
8413,N-be75eec_150,9,PL,100,0.01,3358986,19980329,780.848
8414,N-be75eec_150,4,PL,100,0.05,3362665,3664062,956.554
8415,N-be75eec_150,7,PL,100,0.9,3361505,5649402,974.175
8416,N-be75eec_150,7,PL,100,0.05,3366001,1744624,983.801
8417,N-be75eec_150,5,PL,100,0.01,3365053,9303661,983.063
8418,N-be75eec_150,3,PL,100,0.05,3370105,17984271,977.975
8419,N-be75eec_150,6,PL,100,0.01,3365128,20740417,985.322
8420,N-be75eec_150,6,PL,100,0.05,3362542,16114877,989.286
8421,N-be75eec_150,9,PL,100,0.001,3291766,21951489,991.003
8422,N-be75eec_150,8,PL,100,0.9,3369282,15422251,988.265
8423,N-be75eec_150,2,PL,100,0.05,3369561,17414400,983.281
8424,N-be75eec_150,2,PL,100,0.01,3372052,16137393,992.986
8425,N-be75eec_150,8,PL,100,0.01,3355650,22093068,981.453
8426,N-be75eec_150,1,PL,100,0.001,3282978,22376452,981.993
8427,N-be75eec_150,3,PL,100,0.01,3358506,18810674,991.4
8428,N-be75eec_150,2,PL,100,0.001,3297270,22046230,996.528
8429,N-be75eec_150,7,PL,100,0.01,3365966,17653986,989.066
8430,N-be75eec_150,5,PL,100,0.05,3363014,20458382,980.595
8431,N-be75eec_150,10,PL,100,0.05,3363642,20303787,995.601
8432,N-be75eec_150,8,PL,100,0.001,3287370,22477809,994.733
8433,N-be75eec_150,3,PL,100,0.001,3291000,22247020,997.324
8434,N-be75eec_150,3,PL,100,0.9,3366250,6308144,982.736
8435,N-be75eec_150,7,PL,100,0.001,3283545,22437277,990.891
8436,N-be75eec_150,10,PL,100,0.001,3280690,19632814,990.998
8437,N-be75eec_150,1,PL,100,0.05,3372356,15563086,1007.755
8438,N-be75eec_150,4,PL,100,0.01,3356817,22196902,981.956
8439,N-be75eec_150,9,PL,100,0.05,3375494,13326868,983.67
8440,N-be75eec_150,8,PL,100,0.05,3362652,16208982,992.81
8441,N-be75eec_150,5,PL,100,0.9,3356950,12245905,996.225
