,instance,repetition,algorithm,lambda,alpha,best fitness,evals,elapsed time in secs
262,N-be75eec,2,PL,1000,0.05,232544,2350606,24.826
269,N-be75eec,7,PL,1000,0.05,233008,2291563,20.776
270,N-be75eec,10,PL,1000,0.1,233623,2027772,13.908
272,N-be75eec,6,PL,10000,0.01,209420,2489087,14.55
273,N-be75eec,4,PL,1000,0.01,228314,2443900,13.638
275,N-be75eec,7,PL,1000,0.5,234188,2378156,20.71
277,N-be75eec,5,PL,1000,0.5,234004,2416778,16.9
278,N-be75eec,4,PL,1000,0.5,234086,2016942,23.543
280,N-be75eec,9,PL,1000,0.5,234083,1833228,12.991
282,N-be75eec,9,PL,1000,0.75,234214,1797775,16.011
283,N-be75eec,9,PL,1000,0.9,234159,831385,19.364
287,N-be75eec,4,PL,10000,0.05,223808,2369430,14.078
289,N-be75eec,10,PL,1000,0.9,234198,1889584,24.351
294,N-be75eec,1,PL,1000,0.75,234142,2158479,17.004
295,N-be75eec,3,PL,10000,0.01,213557,2207287,19.692
299,N-be75eec,2,PL,10000,0.1,228724,2489734,12.922
300,N-be75eec,2,PL,1000,0.9,234087,1108741,16.371
302,N-be75eec,10,PL,10000,0.001,198673,1123623,18.625
304,N-be75eec,3,PL,1000,0.9,234075,1541337,17.728
307,N-be75eec,1,PL,1000,0.5,234208,1892618,26.652
320,N-be75eec,9,PL,1000,0.1,233273,1636327,13.879
324,N-be75eec,2,PL,10000,0.01,208477,2026735,18.657
328,N-be75eec,5,PL,10000,0.001,200529,1010775,19.351
329,N-be75eec,8,PL,1000,0.9,234086,1667082,18.163
330,N-be75eec,9,PL,10000,0.001,199794,616275,12.349
332,N-be75eec,7,PL,1000,0.1,233410,2375347,13.863
334,N-be75eec,1,PL,1000,0.05,232540,2447568,21.098
335,N-be75eec,5,PL,10000,0.05,224448,2278553,16.716
336,N-be75eec,2,PL,10000,0.5,232586,2198822,14.315
343,N-be75eec,4,PL,10000,0.001,199036,1673431,24.801
346,N-be75eec,8,PL,10000,0.05,225417,2422795,13.335
