id,date,problem,instance,iterations,model,pop size,trunc size,min,elapsed time in secs
04beb5e0-f087-452d-87af-53ffaafb530c,2023-9-28 6:35,PFSP,tai100_10_9.fsp,10000,vj-inv,10000,0.5,296938,53691
04c4ecd0-d026-4977-98c7-26559000095f,2023-9-27 15:47,PFSP,tai100_10_9.fsp,10000,vj-inv,1000,0.2,321249,430
05025c09-fa76-452f-96b9-f1f0f1a50f53,2023-9-28 16:13,PFSP,tai100_10_9.fsp,10000,vj-inv,100,0.2,343372,37
0586ff3e-f56e-4c2c-a8b2-5765b157cf00,2023-9-28 16:17,PFSP,tai100_10_9.fsp,10000,vj-inv,1000,0.2,322860,260
06077545-7584-48a8-bae1-c3bd7b2b4a0c,2023-9-27 13:29,PFSP,tai20_5_8.fsp,2000,vj-inv,20,0.2,15180,0
0614147e-90f4-4b00-91a7-6024da068698,2023-9-28 15:57,PFSP,tai20_5_8.fsp,2000,vj-inv,2000,0.5,14353,129
0621389b-31b5-411f-b938-d3dd2b458d3c,2023-9-28 15:55,PFSP,tai20_5_8.fsp,2000,vj-inv,200,0.3,14436,1
06478f1b-086b-4e2f-b175-c3dac7f4d833,2023-9-28 1:50,PFSP,tai100_10_9.fsp,10000,vj-inv,10000,0.2,296839,36555
068d99b6-e5df-4ddd-8473-0b5b21b47163,2023-9-28 23:44,PFSP,tai100_10_9.fsp,10000,vj-inv,10000,0.2,297170,27095
06cf2b8b-8aba-4f95-838d-a8332d60b8c9,2023-9-28 16:12,PFSP,tai20_20_8.fsp,2000,vj-inv,20,0.2,35129,0
07f2854a-d941-4b2d-b34b-3bbe6c69d72d,2023-9-28 16:12,PFSP,tai20_20_8.fsp,2000,vj-inv,200,0.2,33698,2
082ddf7c-6449-4f88-9296-0b33ca1ab94e,2023-9-27 15:41,PFSP,tai100_10_9.fsp,10000,vj-inv,100,0.3,340691,24
083aa32f-ada8-46e7-b018-66c4426fa506,2023-9-28 16:12,PFSP,tai20_20_8.fsp,2000,vj-inv,200,0.5,33697,3
08559a82-4ef1-4611-8eb3-32539527193d,2023-9-28 16:14,PFSP,tai100_10_9.fsp,10000,vj-inv,100,0.5,334397,46
0878c8fd-0226-4f71-9a7c-ae4e02108b16,2023-9-27 15:45,PFSP,tai100_10_9.fsp,10000,vj-inv,1000,0.2,320703,281
08ebf2ed-7cb6-4c02-9ab5-67723d9a4a4a,2023-9-27 15:48,PFSP,tai100_10_9.fsp,10000,vj-inv,1000,0.3,319782,456
08f73e8d-4c95-4ecb-a3e2-e6a509259b33,2023-9-27 13:29,PFSP,tai20_5_8.fsp,2000,vj-inv,200,0.2,14359,1
